---,ID,Question,OptionA,OptionB,OptionX,OptionY,CorrectAnswer,Hint
Q001,Q001,"NSLOCTEXT(""[082604F81CB4C07F952B3545A5A73457]"", ""309F307345D5FF91C98B19B70B48B762"", ""Who built the ark?"")","NSLOCTEXT(""[082604F81CB4C07F952B3545A5A73457]"", ""723E20F64062B5810DCD5E935D62EEFF"", ""Moses"")","NSLOCTEXT(""[082604F81CB4C07F952B3545A5A73457]"", ""04A1F0A64253BF9360F3F79B5A713C46"", ""Noah"")","NSLOCTEXT(""[082604F81CB4C07F952B3545A5A73457]"", ""49609CAB40657FE8205A09B39492C01A"", ""David"")","NSLOCTEXT(""[082604F81CB4C07F952B3545A5A73457]"", ""6B63949E420673D8117C68B3DDCCED77"", ""Abraham"")",OptionB,"NSLOCTEXT(""[082604F81CB4C07F952B3545A5A73457]"", ""E9524EFF47708411179ED2ACB5692BAB"", ""Genesis 6"")"
Q002,Q002,"NSLOCTEXT(""[3418DC5C850C13EC7A0822B67A08BFB4]"", ""B969DB0FE34DBED0B556E2DFAEA331AA"", ""Who led the Israelites out of Egypt?"")","NSLOCTEXT(""[E742F36677B4BE89272BF9094ECB4FD6]"", ""E5C141F841D91ACAC25DA621886A1FB3"", ""Aaron"")","NSLOCTEXT(""[709183EA36B6B5B728A12D0A31B1D3CE]"", ""E9FFB0EEBFD2C6B329D7B30DDA160099"", ""Moses"")","NSLOCTEXT(""[823B736766CA63F3DBCC6CCA3F858521]"", ""61B08B4F9EF2CB584A27485236F1EE60"", ""Joshua"")","NSLOCTEXT(""[93292170701758386ACD27120C2D1616]"", ""1E209CE560BC2F5FE4330547FA9015B3"", ""Caleb"")",OptionB,"NSLOCTEXT(""[F4953438B4A64479A216D8A682595786]"", ""B7FB71A7205283E8A2120B4CA4B7C89A"", ""Exodus 3"")"
Q003,Q003,"NSLOCTEXT(""[1F338E12CE01C5662DFC3CF6FB9F9391]"", ""4756C5E8803AEDB48BC6A24B589D5C3A"", ""How many days and nights did it rain during the flood?"")","NSLOCTEXT(""[C956D3E55DAB099008D3AC3F5064CC58]"", ""457F7AF52F8D7DFF82F4F14F540FD055"", ""30"")","NSLOCTEXT(""[0E0B8114FFFC0BB2433D30F2CDD6390E]"", ""A9B997EFFBF14CB30D6041098CA4EEAA"", ""7"")","NSLOCTEXT(""[AEC86106929494D009748C3D155460A0]"", ""56089DD27BB0984A2126C5A915CE525A"", ""40"")","NSLOCTEXT(""[E5F9299F7ABF2CFD06FC67087326EC8F]"", ""E9F279F5AF509ECFBFA65C6E01529050"", ""100"")",OptionX,"NSLOCTEXT(""[80AC6FDBF939074A8F2FA2874AB67BE0]"", ""5CC7646EBC5BF4AC18A2F7F6667B0B5A"", ""Genesis 7"")"
Q004,Q004,"NSLOCTEXT(""[50FF9E85E25BBE2F6BF456CF3B3F506A]"", ""673C0C25BB48CEABC9B3CB24C057861B"", ""Who was the first man created by God?"")","NSLOCTEXT(""[9953E7B97091E81E86B36579947F0757]"", ""B10B3966C0E56D5AAF8FEFA5CD56D7A2"", ""Cain"")","NSLOCTEXT(""[6747E91C8CEE539E47C3493E791214F2]"", ""8F4D04C851EBFC079386AED6CEB20491"", ""Abel"")","NSLOCTEXT(""[FAC168C6CE831102293FDDC3BA9CF913]"", ""D105EC4F899ABD047AB6B56868E121C4"", ""Adam"")","NSLOCTEXT(""[02E9B588A13F4A9F0D34B933B9332782]"", ""4C4F5DA45A4A0D893DDC2ED582E5C347"", ""Seth"")",OptionX,"NSLOCTEXT(""[04E400FA781ECA499A30D53B064952BF]"", ""F3359C4975F1A90640B0638BFE5B15AA"", ""Genesis 2"")"
Q005,Q005,"NSLOCTEXT(""[F9088D8454C2F40032BB3B3E0CD6AB04]"", ""9EED77599AB60B9C2FAE5A87878E0C94"", ""Who was the first woman created by God?"")","NSLOCTEXT(""[789470358F8BAD363567F150BE527893]"", ""1807E1CA0DAC34F02DF9C09909FAB3DD"", ""Eve"")","NSLOCTEXT(""[F8EB8F4EC55C9E984345DC308795CF1E]"", ""8C20C29E7830454281A8B728D99E096F"", ""Sarah"")","NSLOCTEXT(""[16E0EDD5ED5A6E9684D4C0A42DF1457A]"", ""ACBF2DD9B25AA4904A15BAB122C81068"", ""Rachel"")","NSLOCTEXT(""[484285EBBF36E36E6668545F542B1BDD]"", ""C2DF58DEDC105F7DA66A431E3E4A3152"", ""Rebekah"")",OptionA,"NSLOCTEXT(""[ECC20F74E45B5CE46EACABE36E1F1372]"", ""D69DD1A3B06FE476F35FBABF217F43E0"", ""Genesis 2"")"
Q006,Q006,"NSLOCTEXT(""[347FEB285EAA0D29F92C0AA5F64B9DF1]"", ""9D93338F771A052DC0E385E1C9D1F3DB"", ""What did God create on the first day?"")","NSLOCTEXT(""[625E15BD6C4D682E22C2BF2474179A3C]"", ""0534B819F371D18034C1C457BB00F7AA"", ""Animals"")","NSLOCTEXT(""[E92062DCAA1004DBD1D0754ADEF1420A]"", ""3415F8983E82E55A65CC008E881EB46E"", ""Light"")","NSLOCTEXT(""[5917EAB7A5BC79F7B69510578BF7715A]"", ""117B9A358115C81513BB4C5654F1CC04"", ""Plants"")","NSLOCTEXT(""[DFE39D2D23D42849116395CA70039BEF]"", ""86E17EC6DE78807FDC3DCA8D64580C17"", ""Man"")",OptionB,"NSLOCTEXT(""[27D5690DB67490CE69039EDE1B666915]"", ""DFDA2B3C9F56AE267E7D7E9EB29C057C"", ""Genesis 1"")"
Q007,Q007,"NSLOCTEXT(""[5EB3A6877E71610C700BA3E641FBD392]"", ""290AE832693EC75732C110CD2B6055AE"", ""Who betrayed Jesus for thirty pieces of silver?"")","NSLOCTEXT(""[52E55DCDBDA78386A9FBEC8EEB076448]"", ""CFE8FD290599F4D4547EBAE68E23F97B"", ""Peter"")","NSLOCTEXT(""[AF0C497F7EB08D3D40264AD7A20D8FCA]"", ""8E873FC31FA29D786B66F78532C534FF"", ""Thomas"")","NSLOCTEXT(""[F4F1517DFCEB58B7B26D65A62992A9F8]"", ""DAAE93F1010475277A817F374A33A836"", ""Judas Iscariot"")","NSLOCTEXT(""[C2D2A320978BFE1537DAF4549F1BAB62]"", ""DE799E6C2AD14A9662AD534204449161"", ""Matthew"")",OptionX,"NSLOCTEXT(""[4FE31C7A57168160E8420344C25B5404]"", ""5E959D37D92DE6098232D83036CCDFA8"", ""Matthew 26"")"
Q008,Q008,"NSLOCTEXT(""[C721AE1BF1E630C5727CAB7F08B62038]"", ""E0FEA174B0195CC86F03BB6A65518CB9"", ""How many disciples did Jesus have?"")","NSLOCTEXT(""[50A7000F2C699D3C029C6235D8556248]"", ""0F5C6618A9C67F97B8075434B6FCE264"", ""10"")","NSLOCTEXT(""[291DAD5488EFA48D12B77016B36E0C03]"", ""E1F94BD2F8C86F4CF7DDE331DD65405F"", ""12"")","NSLOCTEXT(""[AFF24C2A46BB46E24979A53DF14A15B7]"", ""CA2C3462E3C9B7895722A958E7A779FB"", ""14"")","NSLOCTEXT(""[8DC5BBC146FB7BA17757B46D51E0841B]"", ""04B0949F4F6A9D9E14B9AF29063EABAB"", ""7"")",OptionB,"NSLOCTEXT(""[1D6B0654F201B29D27DBDEFD393870C4]"", ""2093581B814D05BF58B32263CB57A095"", ""Matthew 10"")"
Q009,Q009,"NSLOCTEXT(""[E7D2382FFB5209405807050E0858928C]"", ""BDBEE29124273BB5410C87B27B5A74B1"", ""Who was swallowed by a great fish?"")","NSLOCTEXT(""[AFBDC3C10E76FF8A8DE2255C13BCA3FC]"", ""235F4BCF9FD6EC9C7B3D4BFC5FB5461D"", ""Elijah"")","NSLOCTEXT(""[FAE549C65EDE6F6E9B791DEFCE7AE5EF]"", ""8685F3BC4D11F73CEB823B1D02ABE640"", ""Jonah"")","NSLOCTEXT(""[913548593A52956BB340B0B2E24AE70F]"", ""9A1DAE90061DDFD784D80B530C4D8205"", ""Daniel"")","NSLOCTEXT(""[9B7AFA9F1F5F098F8B9B4A7F7F465E7F]"", ""3A5DCE39EF14F729E2E9892BF27F7AA2"", ""Job"")",OptionB,"NSLOCTEXT(""[28E98BECF1EEAC900F899F04BA2986D5]"", ""A9D0D2F5B3F889BF27D8B5991B2E1364"", ""Jonah 1"")"
Q010,Q010,"NSLOCTEXT(""[29658DADF303D8F4466B34035DFF0EDD]"", ""05FFDD7CEDAC2BCA5C2D22D9A29BA6ED"", ""Who was known for his great strength and long hair?"")","NSLOCTEXT(""[C43DB591E3EB54616204A6F1C655F41D]"", ""45CB777A8C4FF9C20DAB595E6E84E598"", ""Samson"")","NSLOCTEXT(""[D3143566C638BB44EC66F5AEAA6F3433]"", ""475497ACC097B4C556D008B6266CDC92"", ""David"")","NSLOCTEXT(""[97688FF27022563B68221103673CA1ED]"", ""2928A7EE3231B914A3A17203756C9F71"", ""Solomon"")","NSLOCTEXT(""[B13EB6783909D33A65F6C2A961B62D8A]"", ""C1BEEABBBFEBB373EF9D770898D5D430"", ""Gideon"")",OptionA,"NSLOCTEXT(""[60409234570D955BA0F7010F95D09813]"", ""D2314329A69B5069FDB35FF799323E47"", ""Judges 16"")"
